r,l,t,m,y,RateOfActivity
REGION1,SEA2N,DEMAGRGWTBC1,1,2038,0.5512
REGION1,SEA3D,DEMAGRGWTBC1,1,2038,0.5512
REGION1,SEA3N,DEMAGRGWTBC1,1,2038,0.5512
REGION1,SEA4D,DEMAGRGWTBC1,1,2038,0.5512
REGION1,SEA4N,DEMAGRGWTBC1,1,2038,0.5512
REGION1,SEA1D,DEMAGRGWTBC1,1,2039,0.5574
REGION1,SEA1N,DEMAGRGWTBC1,1,2039,0.5574
REGION1,SEA2D,DEMAGRGWTBC1,1,2039,0.5574
REGION1,SEA2N,DEMAGRGWTBC1,1,2039,0.5574
REGION1,SEA3D,DEMAGRGWTBC1,1,2039,0.5574
REGION1,SEA3N,DEMAGRGWTBC1,1,2039,0.5574
REGION1,SEA4D,DEMAGRGWTBC1,1,2039,0.5574
REGION1,SEA4N,DEMAGRGWTBC1,1,2039,0.5574
REGION1,SEA1D,DEMAGRGWTBC1,1,2040,0.5629
REGION1,SEA1N,DEMAGRGWTBC1,1,2040,0.5629
REGION1,SEA2D,DEMAGRGWTBC1,1,2040,0.5629
REGION1,SEA2N,DEMAGRGWTBC1,1,2040,0.5629
REGION1,SEA3D,DEMAGRGWTBC1,1,2040,0.5629
REGION1,SEA3N,DEMAGRGWTBC1,1,2040,0.5629
REGION1,SEA4D,DEMAGRGWTBC1,1,2040,0.5629
REGION1,SEA4N,DEMAGRGWTBC1,1,2040,0.5629
REGION1,SEA1D,DEMAGRGWTBC1,1,2041,0.5703
REGION1,SEA1N,DEMAGRGWTBC1,1,2041,0.5703
REGION1,SEA2D,DEMAGRGWTBC1,1,2041,0.5703
REGION1,SEA2N,DEMAGRGWTBC1,1,2041,0.5703
REGION1,SEA3D,DEMAGRGWTBC1,1,2041,0.5703
REGION1,SEA3N,DEMAGRGWTBC1,1,2041,0.5703
REGION1,SEA4D,DEMAGRGWTBC1,1,2041,0.5703
REGION1,SEA4N,DEMAGRGWTBC1,1,2041,0.5703
REGION1,SEA1D,DEMAGRGWTBC1,1,2042,0.5765
REGION1,SEA1N,DEMAGRGWTBC1,1,2042,0.5765
REGION1,SEA2D,DEMAGRGWTBC1,1,2042,0.5765
REGION1,SEA2N,DEMAGRGWTBC1,1,2042,0.5765
REGION1,SEA3D,DEMAGRGWTBC1,1,2042,0.5765
REGION1,SEA3N,DEMAGRGWTBC1,1,2042,0.5765
REGION1,SEA4D,DEMAGRGWTBC1,1,2042,0.5765
REGION1,SEA4N,DEMAGRGWTBC1,1,2042,0.5765
REGION1,SEA1D,DEMAGRGWTBC1,1,2043,0.585
REGION1,SEA1N,DEMAGRGWTBC1,1,2043,0.585
REGION1,SEA2D,DEMAGRGWTBC1,1,2043,0.585
REGION1,SEA2N,DEMAGRGWTBC1,1,2043,0.585
REGION1,SEA3D,DEMAGRGWTBC1,1,2043,0.585
REGION1,SEA3N,DEMAGRGWTBC1,1,2043,0.585
REGION1,SEA4D,DEMAGRGWTBC1,1,2043,0.585
REGION1,SEA4N,DEMAGRGWTBC1,1,2043,0.585
REGION1,SEA1D,DEMAGRGWTBC1,1,2044,0.5912
REGION1,SEA1N,DEMAGRGWTBC1,1,2044,0.5912
REGION1,SEA2D,DEMAGRGWTBC1,1,2044,0.5912
REGION1,SEA2N,DEMAGRGWTBC1,1,2044,0.5912
REGION1,SEA3D,DEMAGRGWTBC1,1,2044,0.5912
REGION1,SEA3N,DEMAGRGWTBC1,1,2044,0.5912
REGION1,SEA4D,DEMAGRGWTBC1,1,2044,0.5912
