r,t,y,DiscountedTechnologyEmissionsPenalty
REGION1,DEMTRANGS,2027,19.318
REGION1,DEMTRANGS,2028,24.0014
REGION1,DEMTRANGS,2029,27.3675
REGION1,DEMTRANGS,2030,30.9433
REGION1,DEMTRANGS,2031,31.763
REGION1,DEMTRANGS,2032,35.3154
REGION1,DEMTRANGS,2033,35.758
REGION1,DEMTRANGS,2034,36.1204
REGION1,DEMTRANGS,2035,36.4476
REGION1,DEMTRANGS,2036,38.8025
REGION1,DEMTRANGS,2037,39.0664
REGION1,DEMTRANGS,2038,39.356
REGION1,DEMTRANGS,2039,39.7605
REGION1,DEMTRANGS,2040,40.226
REGION1,DEMTRANGS,2041,39.5595
REGION1,DEMTRANGS,2042,39.4815
REGION1,DEMTRANGS,2043,39.3239
REGION1,DEMTRANGS,2044,39.0918
REGION1,DEMTRANGS,2045,38.7902
REGION1,DEMTRANGS,2046,38.431
REGION1,DEMTRANGS,2047,38.0158
REGION1,DEMTRANGS,2048,37.5552
REGION1,DEMTRANGS,2049,37.0502
REGION1,DEMTRANGS,2050,36.51
