r,t,y,NewCapacity
REGION1,DEMPWRBIO,2020,39.2339
REGION1,DEMPWRBIO,2021,39.2339
REGION1,DEMPWRBIO,2022,39.2339
REGION1,DEMPWRBIO,2023,39.2339
REGION1,DEMPWRBIO,2024,39.2339
REGION1,DEMPWRBIO,2025,23.9224
REGION1,DEMPWRBIO,2026,39.2339
REGION1,DEMPWRBIO,2027,39.2339
REGION1,DEMPWRBIO,2028,39.2339
REGION1,DEMPWRBIO,2029,39.2339
REGION1,DEMPWRBIO,2030,39.2339
REGION1,DEMPWRBIO,2031,39.2339
REGION1,DEMPWRBIO,2032,39.2339
REGION1,DEMPWRBIO,2033,39.2339
REGION1,DEMPWRBIO,2034,39.2339
REGION1,DEMPWRBIO,2035,39.2339
REGION1,DEMPWRBIO,2036,39.2339
REGION1,DEMPWRBIO,2037,39.2339
REGION1,DEMPWRBIO,2038,39.2339
REGION1,DEMPWRBIO,2039,39.2339
REGION1,DEMPWRBIO,2040,39.2339
REGION1,DEMPWRBIO,2041,39.2339
REGION1,DEMPWRBIO,2042,39.2339
REGION1,DEMPWRBIO,2043,39.2339
REGION1,DEMPWRBIO,2044,39.2339
REGION1,DEMPWRBIO,2045,39.2339
REGION1,DEMPWRBIO,2046,39.2339
REGION1,DEMPWRBIO,2047,39.2339
REGION1,DEMPWRBIO,2048,39.2339
REGION1,DEMPWRBIO,2049,39.2339
REGION1,DEMPWRBIO,2050,39.2339
REGION1,DEMPWRHYD,2020,304.5815
REGION1,DEMPWRHYD,2021,306.1408
REGION1,DEMPWRHYD,2022,307.6524
REGION1,DEMPWRHYD,2023,309.2898
REGION1,DEMPWRHYD,2024,311.3226
REGION1,DEMPWRHYD,2025,324.0097
REGION1,DEMPWRHYD,2026,326.8721
REGION1,DEMPWRHYD,2027,328.1968
REGION1,DEMPWRHYD,2028,329.1263
REGION1,DEMPWRHYD,2029,330.0254
REGION1,DEMPWRHYD,2030,331.715
REGION1,DEMPWRHYD,2031,333.587
REGION1,DEMPWRHYD,2032,335.4417
REGION1,DEMPWRHYD,2033,336.571
REGION1,DEMPWRHYD,2034,337.2138
REGION1,DEMPWRHYD,2035,337.8429
REGION1,DEMPWRHYD,2036,338.6594
REGION1,DEMPWRHYD,2037,339.3612
REGION1,DEMPWRHYD,2038,340.2445
REGION1,DEMPWRHYD,2039,341.8906
REGION1,DEMPWRHYD,2040,343.0503
REGION1,DEMPWRHYD,2041,344.0574
REGION1,DEMPWRHYD,2042,345.0976
REGION1,DEMPWRHYD,2043,345.7286
REGION1,DEMPWRHYD,2044,346.7675
REGION1,DEMPWRHYD,2045,347.7652
REGION1,DEMPWRHYD,2046,348.8046
REGION1,DEMPWRHYD,2047,349.8444
REGION1,DEMPWRHYD,2048,350.8838
REGION1,DEMPWRHYD,2049,351.9236
REGION1,DEMPWRHYD,2050,352.963
REGION1,DEMPWRSOL,2020,0.0424
REGION1,DEMPWRSOL,2021,0.0424
REGION1,DEMPWRSOL,2022,0.0424
REGION1,DEMPWRSOL,2023,0.0424
REGION1,DEMPWRSOL,2024,0.0424
REGION1,DEMPWRSOL,2025,0.0424
REGION1,DEMPWRSOL,2026,0.0424
REGION1,DEMPWRSOL,2027,0.0424
REGION1,DEMPWRSOL,2028,0.0424
REGION1,DEMPWRSOL,2029,0.0424
REGION1,DEMPWRSOL,2030,0.0424
REGION1,DEMPWRSOL,2031,0.0424
REGION1,DEMPWRSOL,2032,0.0424
REGION1,DEMPWRSOL,2033,0.0424
REGION1,DEMPWRSOL,2034,0.0424
REGION1,DEMPWRSOL,2035,0.0424
REGION1,DEMPWRSOL,2036,0.0424
REGION1,DEMPWRSOL,2037,0.0424
REGION1,DEMPWRSOL,2038,0.0424
REGION1,DEMPWRSOL,2039,0.0424
REGION1,DEMPWRSOL,2040,0.0424
REGION1,DEMPWRWND,2020,65.734
REGION1,DEMPWRWND,2021,76.6128
REGION1,DEMPWRWND,2022,87.1582
REGION1,DEMPWRWND,2023,98.5825
REGION1,DEMPWRWND,2024,112.7643
REGION1,DEMPWRWND,2025,112.7643
REGION1,DEMPWRWND,2026,117.4224
REGION1,DEMPWRWND,2027,126.6649
REGION1,DEMPWRWND,2028,133.1497
REGION1,DEMPWRWND,2029,139.4224
REGION1,DEMPWRWND,2030,151.2103
REGION1,DEMPWRWND,2031,164.2709
REGION1,DEMPWRWND,2032,177.2103
REGION1,DEMPWRWND,2033,185.0891
REGION1,DEMPWRWND,2034,189.574
REGION1,DEMPWRWND,2035,194.3289
REGION1,DEMPWRWND,2036,200.0258
REGION1,DEMPWRWND,2037,205.6587
REGION1,DEMPWRWND,2038,213.3723
REGION1,DEMPWRWND,2039,219.9474
REGION1,DEMPWRWND,2040,228.0383
REGION1,DEMPWRWND,2041,235.0762
REGION1,DEMPWRWND,2042,242.3338
REGION1,DEMPWRWND,2043,248.656
REGION1,DEMPWRWND,2044,255.9045
REGION1,DEMPWRWND,2045,263.0224
REGION1,DEMPWRWND,2046,270.2739
REGION1,DEMPWRWND,2047,277.5284
REGION1,DEMPWRWND,2048,284.78
REGION1,DEMPWRWND,2049,292.0345
REGION1,DEMPWRWND,2050,299.286
REGION1,DEMRESBIO,2020,13.1111
REGION1,DEMRESBIO,2021,13.3636
REGION1,DEMRESBIO,2022,13.5859
REGION1,DEMRESBIO,2023,13.8586
REGION1,DEMRESBIO,2024,14.1414
REGION1,DEMRESBIO,2025,14.404
REGION1,DEMRESBIO,2026,14.6566
REGION1,DEMRESBIO,2027,14.8687
REGION1,DEMRESBIO,2028,15.0909
