r,t,y,CapitalInvestment
REGION1,DEMINDELCB02,2040,1.551
REGION1,DEMINDELCB02,2041,1.551
REGION1,DEMINDELCB02,2042,1.5447
REGION1,DEMINDELCB02,2043,1.5384
REGION1,DEMINDELCB02,2044,1.5321
REGION1,DEMINDELCB02,2045,1.5258
REGION1,DEMINDELCB02,2046,1.5195
REGION1,DEMINDELCB02,2047,1.5132
REGION1,DEMINDELCB02,2048,1.5069
REGION1,DEMINDELCB02,2049,1.5006
REGION1,DEMINDELCB02,2050,1.4942
REGION1,DEMINDNGS,2020,2.2713
REGION1,DEMINDNGS,2021,2.2154
REGION1,DEMINDNGS,2022,2.1608
REGION1,DEMINDNGS,2023,2.1377
REGION1,DEMINDNGS,2024,2.2358
REGION1,DEMINDNGS,2025,2.4528
REGION1,DEMINDNGS,2026,2.7791
REGION1,DEMINDNGS,2027,2.8603
REGION1,DEMINDNGS,2028,2.8748
REGION1,DEMINDNGS,2029,2.8945
REGION1,DEMINDNGS,2030,3.0778
REGION1,DEMINDNGS,2031,3.338
REGION1,DEMINDNGS,2032,3.5003
REGION1,DEMINDNGS,2033,3.4882
REGION1,DEMINDNGS,2034,3.4793
REGION1,DEMINDNGS,2035,3.4809
REGION1,DEMINDNGS,2036,3.4807
REGION1,DEMINDNGS,2037,3.4772
REGION1,DEMINDNGS,2038,3.4771
REGION1,DEMINDNGS,2039,3.4797
REGION1,DEMINDNGS,2040,3.483
REGION1,DEMINDNGS,2041,3.7197
REGION1,DEMINDNGS,2042,3.775
REGION1,DEMINDNGS,2043,3.8302
REGION1,DEMINDNGS,2044,3.8854
REGION1,DEMINDNGS,2045,3.9406
REGION1,DEMINDNGS,2046,3.9958
REGION1,DEMINDNGS,2047,4.051
REGION1,DEMINDNGS,2048,4.1062
REGION1,DEMINDNGS,2049,4.1614
REGION1,DEMINDNGS,2050,4.2167
REGION1,DEMPUBGWTBC1,2020,0.0086
REGION1,DEMPUBGWTBC1,2021,0.0087
REGION1,DEMPUBGWTBC1,2022,0.0087
REGION1,DEMPUBGWTBC1,2023,0.0088
REGION1,DEMPUBGWTBC1,2024,0.0089
REGION1,DEMPUBGWTBC1,2026,0.0091
REGION1,DEMPUBGWTBC1,2027,0.0092
REGION1,DEMPUBGWTBC1,2028,0.0093
REGION1,DEMPUBGWTBC1,2029,0.0094
REGION1,DEMPUBGWTBC1,2030,0.0095
REGION1,DEMPUBGWTBC1,2031,0.0096
REGION1,DEMPUBGWTBC1,2032,0.0097
REGION1,DEMPUBGWTBC1,2033,0.0099
REGION1,DEMPUBGWTBC1,2034,0.01
REGION1,DEMPUBGWTBC1,2035,0.0101
REGION1,DEMPUBGWTBC1,2036,0.0102
REGION1,DEMPUBGWTBC1,2037,0.0103
REGION1,DEMPUBGWTBC1,2038,0.0104
REGION1,DEMPUBGWTBC1,2039,0.0105
REGION1,DEMPUBGWTBC1,2040,0.0106
REGION1,DEMPUBGWTBC1,2041,0.0107
REGION1,DEMPUBGWTBC1,2042,0.0109
REGION1,DEMPUBGWTBC1,2043,0.011
REGION1,DEMPUBGWTBC1,2044,0.0111
REGION1,DEMPUBGWTBC1,2045,0.0112
REGION1,DEMPUBGWTBC1,2046,0.0113
REGION1,DEMPUBGWTBC1,2047,0.0115
REGION1,DEMPUBGWTBC1,2048,0.0116
REGION1,DEMPUBGWTBC1,2049,0.0117
REGION1,DEMPUBGWTBC1,2050,0.0118
REGION1,DEMPUBSURBC1,2025,0.009
REGION1,DEMPWRBIO,2020,0.3923
REGION1,DEMPWRBIO,2021,0.3923
REGION1,DEMPWRBIO,2022,0.3923
REGION1,DEMPWRBIO,2023,0.3923
REGION1,DEMPWRBIO,2024,0.3923
REGION1,DEMPWRBIO,2025,0.2392
REGION1,DEMPWRBIO,2026,0.3923
REGION1,DEMPWRBIO,2027,0.3923
REGION1,DEMPWRBIO,2028,0.3923
REGION1,DEMPWRBIO,2029,0.3923
REGION1,DEMPWRBIO,2030,0.3923
REGION1,DEMPWRBIO,2031,0.3923
REGION1,DEMPWRBIO,2032,0.3923
REGION1,DEMPWRBIO,2033,0.3923
REGION1,DEMPWRBIO,2034,0.3923
REGION1,DEMPWRBIO,2035,0.3923
REGION1,DEMPWRBIO,2036,0.3923
REGION1,DEMPWRBIO,2037,0.3923
REGION1,DEMPWRBIO,2038,0.3923
REGION1,DEMPWRBIO,2039,0.3923
REGION1,DEMPWRBIO,2040,0.3923
REGION1,DEMPWRBIO,2041,0.3923
REGION1,DEMPWRBIO,2042,0.3923
REGION1,DEMPWRBIO,2043,0.3923
REGION1,DEMPWRBIO,2044,0.3923
REGION1,DEMPWRBIO,2045,0.3923
REGION1,DEMPWRBIO,2046,0.3923
REGION1,DEMPWRBIO,2047,0.3923
REGION1,DEMPWRBIO,2048,0.3923
REGION1,DEMPWRBIO,2049,0.3923
REGION1,DEMPWRBIO,2050,0.3923
REGION1,DEMPWRHYD,2020,3.0458
REGION1,DEMPWRHYD,2021,3.0614
REGION1,DEMPWRHYD,2022,3.0765
REGION1,DEMPWRHYD,2023,3.0929
REGION1,DEMPWRHYD,2024,3.1132
REGION1,DEMPWRHYD,2025,3.2401
REGION1,DEMPWRHYD,2026,3.2687
REGION1,DEMPWRHYD,2027,3.282
REGION1,DEMPWRHYD,2028,3.2913
REGION1,DEMPWRHYD,2029,3.3003
REGION1,DEMPWRHYD,2030,3.3171
REGION1,DEMPWRHYD,2031,3.3359
REGION1,DEMPWRHYD,2032,3.3544
REGION1,DEMPWRHYD,2033,3.3657
REGION1,DEMPWRHYD,2034,3.3721
REGION1,DEMPWRHYD,2035,3.3784
REGION1,DEMPWRHYD,2036,3.3866
REGION1,DEMPWRHYD,2037,3.3936
REGION1,DEMPWRHYD,2038,3.4024
REGION1,DEMPWRHYD,2039,3.4189
REGION1,DEMPWRHYD,2040,3.4305
REGION1,DEMPWRHYD,2041,3.4406
REGION1,DEMPWRHYD,2042,3.451
REGION1,DEMPWRHYD,2043,3.4573
REGION1,DEMPWRHYD,2044,3.4677
REGION1,DEMPWRHYD,2045,3.4777
REGION1,DEMPWRHYD,2046,3.488
REGION1,DEMPWRHYD,2047,3.4984
